seq_ID,seq_start,seq_end,gene1
NODE_16_length_859934_cov_13.804777,442649,444454,GH13
NODE_18_length_855782_cov_13.614661,145523,147317,GH13
NODE_18_length_855782_cov_13.614661,325458,327260,GH13
NODE_19_length_851729_cov_13.622464,612344,614197,GH13
NODE_143_length_8927_cov_1.116705,4867,7038,GH13
NODE_2710_length_724_cov_0.452261,1,278,GH13
NODE_1_length_3247285_cov_13.928014,1085094,1087194,"GH13,GH31"
NODE_36_length_272268_cov_14.007786,180687,182898,"GH13,GH31"
NODE_1262_length_1935_cov_0.749447,1,1735,"GH13,GH32"
NODE_1452_length_1676_cov_1.217560,1,1339,GH130
NODE_10_length_1088295_cov_13.676338,987788,989620,GH15
NODE_257_length_6036_cov_0.970215,4388,5857,GH15
NODE_3_length_2227752_cov_13.882755,8322,9596,GH17
NODE_9_length_1163011_cov_14.152401,65923,67446,GH17
NODE_1_length_3247285_cov_13.928014,167714,172903,GH18
NODE_1_length_3247285_cov_13.928014,2089139,2091282,GH18
NODE_1_length_3247285_cov_13.928014,2983432,2988084,GH18
NODE_2_length_2759055_cov_13.803809,2087570,2088658,GH18
NODE_4_length_2191902_cov_13.637278,1750086,1751527,GH18
NODE_5_length_2015350_cov_13.947471,178409,180926,GH18
NODE_7_length_1233739_cov_13.856209,330915,335605,GH18
NODE_12_length_983797_cov_13.788388,498568,502128,GH18
NODE_13_length_979002_cov_13.484979,615366,620904,GH18
NODE_18_length_855782_cov_13.614661,219576,223870,GH18
NODE_19_length_851729_cov_13.622464,399098,400147,GH18
NODE_21_length_711647_cov_13.992616,584106,585392,GH18
NODE_24_length_619964_cov_13.884168,532372,533668,GH18
NODE_26_length_523470_cov_13.461011,255298,256608,GH18
NODE_35_length_286632_cov_13.852257,154899,156630,GH18
NODE_62_length_20287_cov_14.623562,11245,12437,GH18
NODE_732_length_3109_cov_0.887324,498,3109,GH18
NODE_1082_length_2234_cov_0.981965,1,927,GH18
NODE_173_length_8066_cov_1.016123,3975,4673,GH19
NODE_1_length_3247285_cov_13.928014,1557550,1559805,GH20
NODE_2_length_2759055_cov_13.803809,759629,761575,GH20
NODE_1232_length_1963_cov_0.759804,84,1963,GH20
NODE_793_length_2914_cov_0.880875,1742,2672,"GH20,GH33"
NODE_11_length_1027557_cov_13.535024,783024,784743,GH26
NODE_1_length_3247285_cov_13.928014,3198911,3200957,GH29
NODE_3_length_2227752_cov_13.882755,1348267,1350386,GH29
NODE_36_length_272268_cov_14.007786,213817,215628,GH29
NODE_1117_length_2163_cov_0.846267,568,1719,GH29
NODE_2836_length_667_cov_0.596296,1,642,GH29
NODE_1_length_3247285_cov_13.928014,2319434,2322084,GH3
NODE_1_length_3247285_cov_13.928014,2563661,2566221,GH3
NODE_1_length_3247285_cov_13.928014,3155696,3156691,GH3
NODE_2_length_2759055_cov_13.803809,811722,814547,GH3
NODE_2_length_2759055_cov_13.803809,915558,918113,GH3
NODE_2_length_2759055_cov_13.803809,2111320,2114016,GH3
NODE_4_length_2191902_cov_13.637278,20815,23236,GH3
NODE_4_length_2191902_cov_13.637278,1202683,1205310,GH3
NODE_7_length_1233739_cov_13.856209,18123,20755,GH3
NODE_8_length_1221331_cov_18.084136,736286,738642,GH3
NODE_12_length_983797_cov_13.788388,721432,723980,GH3
NODE_16_length_859934_cov_13.804777,430696,433726,GH3
NODE_20_length_847868_cov_13.584679,112105,114933,GH3
NODE_21_length_711647_cov_13.992616,392415,395510,GH3
NODE_22_length_666194_cov_13.668542,555800,557790,GH3
NODE_26_length_523470_cov_13.461011,173614,176460,GH3
NODE_27_length_462479_cov_13.631447,319781,323019,GH3
NODE_30_length_366024_cov_13.034204,342850,345687,GH3
NODE_36_length_272268_cov_14.007786,216499,219899,GH3
NODE_6_length_1455543_cov_13.893929,708827,710361,GH30
NODE_1_length_3247285_cov_13.928014,3189963,3191951,GH31
NODE_2_length_2759055_cov_13.803809,882715,885167,GH31
NODE_2_length_2759055_cov_13.803809,1186105,1191368,GH31
NODE_2_length_2759055_cov_13.803809,2089140,2091249,GH31
NODE_5_length_2015350_cov_13.947471,1105237,1107652,GH31
NODE_8_length_1221331_cov_18.084136,419532,422402,GH31
NODE_20_length_847868_cov_13.584679,612605,615273,GH31
NODE_23_length_628967_cov_13.697354,422909,424939,GH31
NODE_221_length_6600_cov_0.877028,1099,3405,GH31
NODE_1290_length_1898_cov_0.843591,18,1857,GH31
NODE_11_length_1027557_cov_13.535024,941622,943699,GH32
NODE_2606_length_785_cov_1.218845,1,785,"GH33,GH5,GH9"
NODE_21_length_711647_cov_13.992616,258603,261015,GH37
NODE_31_length_349652_cov_14.017464,4307,6406,GH37
NODE_546_length_3854_cov_0.786960,1,2077,"GH37,GH63"
NODE_3688_length_369_cov_1.111570,1,346,"GH37,GH63"
NODE_1321_length_1866_cov_0.753306,1,268,"GH37,GH65"
NODE_1994_length_1185_cov_0.678639,40,1071,"GH37,GH65"
NODE_3159_length_533_cov_1.007389,1,533,"GH37,GH65"
NODE_2_length_2759055_cov_13.803809,441274,444961,GH38
NODE_4_length_2191902_cov_13.637278,1309075,1312427,GH38
NODE_25_length_525676_cov_14.184350,272343,276305,GH38
NODE_747_length_3048_cov_0.804177,345,1721,GH38
NODE_10_length_1088295_cov_13.676338,79391,80347,GH43
NODE_26_length_523470_cov_13.461011,326182,327792,GH43
NODE_1_length_3247285_cov_13.928014,77436,79280,GH47
NODE_10_length_1088295_cov_13.676338,285480,288681,GH47
NODE_13_length_979002_cov_13.484979,8716,10441,GH47
NODE_14_length_925178_cov_13.590311,9682,11514,GH47
NODE_14_length_925178_cov_13.590311,440044,441878,GH47
NODE_14_length_925178_cov_13.590311,638072,639812,GH47
NODE_21_length_711647_cov_13.992616,508374,509147,GH47
NODE_21_length_711647_cov_13.992616,509375,510187,GH47
NODE_21_length_711647_cov_13.992616,630516,630785,GH47
NODE_25_length_525676_cov_14.184350,467546,469680,GH47
NODE_26_length_523470_cov_13.461011,30564,32511,GH47
NODE_38_length_199720_cov_13.318643,81284,83044,GH47
NODE_6_length_1455543_cov_13.893929,549100,550473,GH5
NODE_8_length_1221331_cov_18.084136,649355,650656,GH5
NODE_12_length_983797_cov_13.788388,871969,873332,GH5
NODE_24_length_619964_cov_13.884168,142246,143626,GH5
NODE_6_length_1455543_cov_13.893929,771629,772976,"GH5,GH9"
NODE_9_length_1163011_cov_14.152401,1013579,1015096,"GH5,GH9"
NODE_11_length_1027557_cov_13.535024,340229,341476,"GH5,GH9"
NODE_19_length_851729_cov_13.622464,494732,495812,"GH5,GH9"
NODE_22_length_666194_cov_13.668542,593488,595257,"GH5,GH9"
NODE_29_length_434673_cov_14.176414,19496,21384,"GH5,GH9"
NODE_127_length_9576_cov_0.942851,3773,5228,"GH5,GH9"
NODE_209_length_6960_cov_0.897410,534,2515,"GH5,GH9"
NODE_686_length_3269_cov_0.739656,22,3269,"GH5,GH9"
NODE_795_length_2911_cov_0.852730,1,1151,"GH5,GH9"
NODE_1105_length_2184_cov_0.855129,1,1330,"GH5,GH9"
NODE_1148_length_2101_cov_0.960993,518,1819,"GH5,GH9"
NODE_2192_length_1031_cov_0.417035,1,894,"GH5,GH9"
NODE_1_length_3247285_cov_13.928014,3147947,3149694,GH51
NODE_4_length_2191902_cov_13.637278,953215,955469,GH51
NODE_6_length_1455543_cov_13.893929,922271,924139,GH51
NODE_11_length_1027557_cov_13.535024,962888,964984,GH51
NODE_30_length_366024_cov_13.034204,17503,19742,GH51
NODE_902_length_2635_cov_0.863238,1874,2635,GH51
NODE_952_length_2507_cov_0.567647,1,1713,GH51
NODE_986_length_2417_cov_0.605677,1,958,GH51
NODE_1122_length_2151_cov_0.771245,1,1212,GH51
NODE_1127_length_2143_cov_0.684028,258,2143,GH51
NODE_1399_length_1741_cov_0.806072,98,1664,GH51
NODE_2285_length_969_cov_0.471496,487,870,GH51
NODE_2428_length_887_cov_1.013158,474,860,GH51
NODE_3839_length_330_cov_0.679803,1,273,GH51
NODE_913_length_2601_cov_0.998383,2095,2601,GH52
NODE_2274_length_975_cov_1.148585,422,975,GH52
NODE_3296_length_486_cov_0.629526,1,459,GH52
NODE_4_length_2191902_cov_13.637278,2092037,2093704,GH6
NODE_8_length_1221331_cov_18.084136,1127846,1129096,GH6
NODE_15_length_891520_cov_13.837380,854271,855607,GH6
NODE_20_length_847868_cov_13.584679,661628,662854,GH6
NODE_22_length_666194_cov_13.668542,193192,194530,GH6
NODE_1787_length_1367_cov_0.833871,1,797,GH6
NODE_697_length_3243_cov_1.086008,1,3087,"GH65,GT35"
NODE_2525_length_833_cov_0.933428,167,833,"GH65,GT35"
NODE_797_length_2905_cov_0.772858,828,2873,GH66
NODE_1_length_3247285_cov_13.928014,3045835,3047455,GH7
NODE_3_length_2227752_cov_13.882755,1919938,1921790,GH7
NODE_10_length_1088295_cov_13.676338,840674,841921,GH7
NODE_12_length_983797_cov_13.788388,207451,208897,GH7
NODE_18_length_855782_cov_13.614661,512341,514040,GH7
NODE_36_length_272268_cov_14.007786,155917,157803,GH7
NODE_2_length_2759055_cov_13.803809,1627626,1629142,GH76
NODE_3_length_2227752_cov_13.882755,236853,238248,GH76
NODE_5_length_2015350_cov_13.947471,249195,250744,GH76
NODE_12_length_983797_cov_13.788388,62258,64300,GH76
NODE_16_length_859934_cov_13.804777,787353,788876,GH76
NODE_20_length_847868_cov_13.584679,140299,141820,GH76
NODE_28_length_446722_cov_29.424895,347861,349436,GH76
NODE_409_length_4661_cov_0.742391,1209,2024,GH88
NODE_1484_length_1643_cov_1.110818,1,1598,GH88
NODE_75_length_16571_cov_0.996290,3750,6495,GH95
NODE_925_length_2566_cov_0.882329,1,1619,GH95
NODE_12_length_983797_cov_13.788388,673088,677669,GT1
NODE_1_length_3247285_cov_13.928014,1576266,1577965,GT15
NODE_2_length_2759055_cov_13.803809,2429524,2430919,GT15
NODE_3_length_2227752_cov_13.882755,1383395,1384999,GT15
NODE_8_length_1221331_cov_18.084136,1179623,1181006,GT15
NODE_1_length_3247285_cov_13.928014,964686,968242,GT2
NODE_1_length_3247285_cov_13.928014,2100503,2103111,GT2
NODE_3_length_2227752_cov_13.882755,1143442,1144915,GT2
NODE_5_length_2015350_cov_13.947471,474236,476849,GT2
NODE_5_length_2015350_cov_13.947471,1693578,1697962,GT2
NODE_8_length_1221331_cov_18.084136,22764,24766,GT2
NODE_8_length_1221331_cov_18.084136,456423,456848,GT2
NODE_9_length_1163011_cov_14.152401,245776,251477,GT2
NODE_9_length_1163011_cov_14.152401,255027,259986,GT2
NODE_12_length_983797_cov_13.788388,519477,522545,GT2
NODE_19_length_851729_cov_13.622464,380545,383942,GT2
NODE_34_length_295069_cov_13.569932,249541,250007,GT2
NODE_38_length_199720_cov_13.318643,49446,50300,GT2
NODE_187_length_7580_cov_0.948745,1355,5701,GT2
NODE_2267_length_979_cov_1.287559,1,317,GT2
NODE_177_length_7947_cov_1.450639,5489,6313,"GT2,GT4"
NODE_421_length_4598_cov_0.770074,662,1123,"GT2,GT4"
NODE_3_length_2227752_cov_13.882755,1835579,1838416,GT20
NODE_18_length_855782_cov_13.614661,736069,737678,GT20
NODE_22_length_666194_cov_13.668542,504878,508123,GT20
NODE_2_length_2759055_cov_13.803809,1269605,1271262,GT21
NODE_1_length_3247285_cov_13.928014,1096795,1098721,GT22
NODE_1_length_3247285_cov_13.928014,1423008,1424821,GT22
NODE_3_length_2227752_cov_13.882755,1189715,1192688,GT22
NODE_44_length_116506_cov_14.600529,87973,88601,GT22
NODE_15_length_891520_cov_13.837380,722200,728404,GT24
NODE_760_length_3006_cov_0.811740,920,2910,GT28
NODE_2_length_2759055_cov_13.803809,1464045,1466410,GT3
NODE_4_length_2191902_cov_13.637278,578053,579169,GT32
NODE_8_length_1221331_cov_18.084136,142962,144131,GT32
NODE_20_length_847868_cov_13.584679,817577,818809,GT32
NODE_34_length_295069_cov_13.569932,50817,51715,GT32
NODE_3_length_2227752_cov_13.882755,179275,182499,GT33
NODE_1_length_3247285_cov_13.928014,250579,251221,GT34
NODE_9_length_1163011_cov_14.152401,353203,354143,GT34
NODE_3_length_2227752_cov_13.882755,118727,121794,GT35
NODE_7_length_1233739_cov_13.856209,805804,808903,GT39
NODE_12_length_983797_cov_13.788388,132349,134829,GT39
NODE_25_length_525676_cov_14.184350,459340,461770,GT39
NODE_1_length_3247285_cov_13.928014,131462,134104,GT4
NODE_4_length_2191902_cov_13.637278,1583207,1585033,GT4
NODE_17_length_857209_cov_13.874661,430602,432128,GT4
NODE_19_length_851729_cov_13.622464,790895,792640,GT4
NODE_31_length_349652_cov_14.017464,344600,347121,GT4
NODE_131_length_9395_cov_1.134117,8506,9395,GT4
NODE_227_length_6461_cov_0.869908,797,5025,GT4
NODE_722_length_3137_cov_0.844518,1371,2600,GT4
NODE_867_length_2704_cov_0.607295,1,729,GT4
NODE_2024_length_1160_cov_0.715392,1,1065,GT4
NODE_1_length_3247285_cov_13.928014,498745,499854,"GT47,GT64"
NODE_8_length_1221331_cov_18.084136,364177,365300,"GT47,GT64"
NODE_15_length_891520_cov_13.837380,750291,756261,GT48
NODE_1979_length_1198_cov_0.855275,1,1064,GT5
NODE_2_length_2759055_cov_13.803809,1120313,1121512,GT50
NODE_144_length_8897_cov_1.044698,5691,7901,GT51
NODE_175_length_8013_cov_1.014583,6953,8013,GT51
NODE_474_length_4217_cov_0.744988,2141,4217,GT51
NODE_586_length_3680_cov_1.084436,2615,3634,GT51
NODE_1081_length_2235_cov_0.713947,1,1237,GT51
NODE_1133_length_2129_cov_0.494006,1,1363,GT51
NODE_2_length_2759055_cov_13.803809,2738133,2741401,GT57
NODE_2_length_2759055_cov_13.803809,2747087,2748757,GT57
NODE_16_length_859934_cov_13.804777,648358,650280,GT57
NODE_3_length_2227752_cov_13.882755,1344901,1346352,GT58
NODE_3_length_2227752_cov_13.882755,1401523,1405215,GT59
NODE_19_length_851729_cov_13.622464,287392,289069,GT62
NODE_25_length_525676_cov_14.184350,338756,339950,GT62
NODE_9_length_1163011_cov_14.152401,757323,759859,GT66
NODE_14_length_925178_cov_13.590311,621997,623531,GT76
NODE_40_length_181255_cov_12.671774,57997,60825,GT8
NODE_421_length_4598_cov_0.770074,1390,3514,GT81
NODE_1379_length_1776_cov_0.747726,1160,1516,GT81
NODE_1057_length_2297_cov_0.568203,706,2268,PL11
NODE_2_length_2759055_cov_13.803809,1789715,1792045,PL4
NODE_3_length_2227752_cov_13.882755,2181923,2183608,PL4
NODE_20_length_847868_cov_13.584679,617187,618978,PL4
NODE_821_length_2830_cov_0.610433,492,2708,PL8
