seq_ID,seq_start,seq_end
NODE_267_length_11852_cov_0.836418,1,11852
NODE_268_length_11851_cov_0.842886,1,11851
NODE_269_length_11847_cov_0.850171,1,11847
NODE_270_length_11846_cov_0.880536,1,11846
NODE_271_length_11841_cov_0.828240,1,11841
NODE_272_length_11834_cov_0.844281,1,11834
NODE_273_length_11833_cov_0.763711,1,11833
NODE_274_length_11805_cov_0.782668,1,11805
NODE_275_length_11759_cov_0.850671,1,11759
NODE_276_length_11752_cov_0.753290,1,11752
NODE_277_length_11737_cov_0.735056,1,11737
NODE_278_length_11736_cov_0.900336,1,11736
NODE_279_length_11723_cov_5.667299,1,11723
NODE_280_length_11708_cov_0.867628,1,11708
NODE_281_length_11701_cov_0.893987,1,11701
NODE_282_length_11677_cov_0.865022,1,11677
NODE_283_length_11659_cov_0.899063,1,11659
NODE_284_length_11654_cov_0.795437,1,11654
NODE_285_length_11648_cov_0.932124,1,11648
NODE_286_length_11646_cov_98.906415,1,11646
NODE_287_length_11640_cov_0.926344,1,11640
NODE_288_length_11632_cov_0.809735,1,11632
NODE_289_length_11631_cov_0.735136,1,11631
NODE_291_length_11627_cov_0.835391,1,11627
NODE_290_length_11627_cov_0.866870,1,11627
NODE_292_length_11618_cov_0.775215,1,11618
NODE_293_length_11599_cov_0.833856,1,11599
NODE_294_length_11590_cov_0.847684,1,11590
NODE_295_length_11589_cov_0.878293,1,11589
NODE_296_length_11588_cov_0.870517,1,11588
NODE_297_length_11585_cov_0.917001,1,11585
NODE_298_length_11579_cov_0.762574,1,11579
NODE_299_length_11563_cov_0.788737,1,11563
NODE_300_length_11552_cov_0.767177,1,11552
NODE_301_length_11525_cov_0.818126,1,11525
NODE_302_length_11521_cov_0.771810,1,11521
NODE_303_length_11514_cov_0.826469,1,11514
NODE_304_length_11507_cov_0.876450,1,11507
NODE_305_length_11492_cov_0.779938,1,11492
NODE_306_length_11488_cov_0.763225,1,11488
NODE_307_length_11461_cov_0.867743,1,11461
NODE_308_length_11458_cov_0.846792,1,11458
NODE_309_length_11456_cov_0.887987,1,11456
NODE_310_length_11446_cov_0.766676,1,11446
NODE_311_length_11443_cov_0.786674,1,11443
NODE_312_length_11436_cov_0.905120,1,11436
NODE_313_length_11432_cov_0.817780,1,11432
NODE_314_length_11428_cov_0.936908,1,11428
NODE_315_length_11377_cov_0.856356,1,11377
NODE_316_length_11376_cov_0.722909,1,11376
NODE_317_length_11352_cov_0.745568,1,11352
NODE_318_length_11298_cov_0.795005,1,11298
NODE_319_length_11293_cov_0.912323,1,11293
NODE_320_length_11289_cov_0.817954,1,11289
NODE_321_length_11273_cov_0.820922,1,11273
NODE_322_length_11250_cov_0.764182,1,11250
NODE_323_length_11229_cov_0.829310,1,11229
NODE_324_length_11219_cov_0.863956,1,11219
NODE_326_length_11204_cov_0.830460,1,11204
NODE_325_length_11204_cov_0.870543,1,11204
NODE_327_length_11191_cov_0.759671,1,11191
NODE_328_length_11171_cov_0.758964,1,11171
NODE_329_length_11163_cov_0.839797,1,11163
NODE_330_length_11146_cov_0.951811,1,11146
NODE_331_length_11142_cov_0.916114,1,11142
NODE_332_length_11136_cov_0.782087,1,11136
NODE_333_length_11134_cov_0.790588,1,11134
NODE_335_length_11119_cov_0.850710,1,11119
NODE_334_length_11119_cov_0.884370,1,11119
NODE_336_length_11115_cov_0.810703,1,11115
NODE_337_length_11113_cov_0.810759,1,11113
NODE_338_length_11102_cov_0.790706,1,11102
NODE_339_length_11099_cov_0.842144,1,11099
NODE_340_length_11097_cov_0.813582,1,11097
NODE_341_length_11085_cov_0.745665,1,11085
NODE_342_length_11078_cov_0.824034,1,11078
NODE_343_length_11076_cov_0.850215,1,11076
NODE_344_length_11069_cov_0.940961,1,11069
NODE_346_length_11063_cov_0.779810,1,11063
NODE_345_length_11063_cov_0.815198,1,11063
NODE_347_length_11016_cov_0.874460,1,11016
NODE_348_length_11002_cov_0.843310,1,11002
NODE_349_length_11000_cov_0.836936,1,11000
NODE_350_length_10993_cov_0.819897,1,10993
NODE_351_length_10975_cov_0.877858,1,10975
NODE_352_length_10970_cov_0.827170,1,10970
NODE_353_length_10968_cov_0.863850,1,10968
NODE_354_length_10962_cov_0.802861,1,10962
NODE_355_length_10940_cov_0.863313,1,10940
NODE_356_length_10935_cov_0.848908,1,10935
NODE_358_length_10903_cov_0.777190,1,10903
NODE_357_length_10903_cov_0.942743,1,10903
NODE_359_length_10893_cov_0.741129,1,10893
NODE_360_length_10887_cov_0.892100,1,10887
NODE_361_length_10886_cov_0.898504,1,10886
NODE_362_length_10884_cov_0.820954,1,10884
NODE_363_length_10879_cov_0.857608,1,10879
NODE_364_length_10878_cov_0.913310,1,10878
NODE_365_length_10871_cov_0.927774,1,10871
NODE_366_length_10867_cov_0.751117,1,10867
NODE_368_length_10853_cov_0.807850,1,10853
NODE_367_length_10853_cov_0.917304,1,10853
NODE_369_length_10849_cov_0.785208,1,10849
NODE_370_length_10843_cov_0.773423,1,10843
NODE_371_length_10841_cov_0.901064,1,10841
NODE_372_length_10830_cov_0.772400,1,10830
NODE_373_length_10828_cov_0.847117,1,10828
NODE_374_length_10789_cov_0.833333,1,10789
NODE_375_length_10787_cov_0.866510,1,10787
NODE_376_length_10785_cov_0.743291,1,10785
NODE_378_length_10778_cov_0.890151,1,10778
NODE_377_length_10778_cov_0.928364,1,10778
NODE_379_length_10777_cov_0.788357,1,10777
NODE_380_length_10774_cov_0.826806,1,10774
NODE_381_length_10772_cov_0.869328,1,10772
NODE_382_length_10753_cov_0.809165,1,10753
NODE_383_length_10752_cov_0.881506,1,10752
NODE_385_length_10751_cov_0.835561,1,10751
NODE_384_length_10751_cov_0.877918,1,10751
NODE_386_length_10742_cov_0.937824,1,10742
NODE_387_length_10738_cov_0.952219,1,10738
NODE_388_length_10737_cov_0.776909,1,10737
NODE_389_length_10734_cov_7.470538,1,10734
NODE_390_length_10726_cov_0.846401,1,10726
NODE_391_length_10718_cov_0.942121,1,10718
NODE_393_length_10714_cov_0.825068,1,10714
NODE_392_length_10714_cov_0.933126,1,10714
NODE_394_length_10709_cov_0.859006,1,10709
NODE_395_length_10706_cov_0.937423,1,10706
NODE_396_length_10704_cov_0.825849,1,10704
NODE_397_length_10690_cov_0.784342,1,10690
NODE_398_length_10673_cov_0.765029,1,10673
NODE_399_length_10662_cov_0.877836,1,10662
NODE_400_length_10650_cov_0.843866,1,10650
NODE_401_length_10639_cov_0.842941,1,10639
NODE_402_length_10638_cov_0.872610,1,10638
NODE_403_length_10625_cov_0.827491,1,10625
NODE_404_length_10623_cov_0.868617,1,10623
NODE_405_length_10613_cov_0.706752,1,10613
NODE_406_length_10609_cov_0.818451,1,10609
NODE_407_length_10596_cov_0.948992,1,10596
NODE_408_length_10593_cov_0.987292,1,10593
NODE_409_length_10590_cov_0.749881,1,10590
NODE_410_length_10589_cov_0.780826,1,10589
NODE_411_length_10572_cov_0.893250,1,10572
NODE_412_length_10557_cov_0.956184,1,10557
NODE_413_length_10555_cov_0.752589,1,10555
NODE_415_length_10549_cov_0.811840,1,10549
NODE_414_length_10549_cov_0.881117,1,10549
NODE_416_length_10548_cov_0.921409,1,10548
NODE_417_length_10542_cov_0.855209,1,10542
NODE_418_length_10540_cov_0.713915,1,10540
NODE_419_length_10538_cov_0.701566,1,10538
NODE_420_length_10537_cov_0.906916,1,10537
NODE_421_length_10528_cov_0.852899,1,10528
NODE_422_length_10526_cov_0.877777,1,10526
NODE_423_length_10524_cov_0.904011,1,10524
NODE_424_length_10519_cov_0.765781,1,10519
NODE_425_length_10516_cov_0.804409,1,10516
NODE_426_length_10493_cov_0.777542,1,10493
NODE_427_length_10477_cov_0.835942,1,10477
NODE_428_length_10476_cov_0.799498,1,10476
NODE_429_length_10462_cov_0.960522,1,10462
NODE_430_length_10460_cov_0.831124,1,10460
NODE_431_length_10456_cov_0.810340,1,10456
NODE_432_length_10445_cov_0.911805,1,10445
NODE_433_length_10432_cov_0.898787,1,10432
NODE_434_length_10418_cov_0.879409,1,10418
NODE_435_length_10416_cov_0.822140,1,10416
NODE_436_length_10414_cov_0.772723,1,10414
NODE_437_length_10413_cov_0.942640,1,10413
NODE_438_length_10409_cov_0.858296,1,10409
NODE_439_length_10403_cov_0.879136,1,10403
NODE_440_length_10401_cov_0.756570,1,10401
NODE_441_length_10397_cov_0.943622,1,10397
NODE_442_length_10396_cov_0.799786,1,10396
NODE_443_length_10395_cov_0.970686,1,10395
NODE_444_length_10380_cov_0.934263,1,10380
NODE_445_length_10373_cov_0.881027,1,10373
NODE_446_length_10361_cov_0.773696,1,10361
NODE_447_length_10354_cov_0.876894,1,10354
NODE_448_length_10336_cov_0.897443,1,10336
NODE_449_length_10302_cov_0.850909,1,10302
NODE_450_length_10294_cov_0.787155,1,10294
NODE_451_length_10286_cov_0.776454,1,10286
NODE_452_length_10278_cov_0.734410,1,10278
NODE_453_length_10273_cov_1.019417,1,10273
NODE_454_length_10241_cov_1.002472,1,10241
NODE_455_length_10220_cov_0.805905,1,10220
NODE_456_length_10212_cov_0.878532,1,10212
NODE_457_length_10197_cov_0.889474,1,10197
NODE_458_length_10186_cov_0.840044,1,10186
NODE_459_length_10172_cov_0.853459,1,10172
NODE_460_length_10168_cov_0.896425,1,10168
NODE_462_length_10157_cov_0.764506,1,10157
NODE_461_length_10157_cov_0.839781,1,10157
NODE_463_length_10152_cov_0.843990,1,10152
NODE_464_length_10147_cov_0.843114,1,10147
NODE_465_length_10135_cov_0.798161,1,10135
NODE_466_length_10130_cov_0.723083,1,10130
NODE_467_length_10126_cov_0.792779,1,10126
NODE_468_length_10112_cov_0.864096,1,10112
NODE_470_length_10105_cov_0.761876,1,10105
NODE_469_length_10105_cov_0.811986,1,10105
NODE_471_length_10096_cov_0.831879,1,10096
NODE_472_length_10093_cov_0.726972,1,10093
NODE_473_length_10089_cov_0.972997,1,10089
NODE_474_length_10083_cov_0.762555,1,10083
NODE_475_length_10080_cov_0.876922,1,10080
NODE_476_length_10073_cov_0.913634,1,10073
NODE_477_length_10069_cov_0.769865,1,10069
NODE_478_length_10068_cov_0.839956,1,10068
NODE_479_length_10067_cov_0.805936,1,10067
NODE_480_length_10065_cov_0.818173,1,10065
NODE_481_length_10062_cov_0.815501,1,10062
NODE_482_length_10051_cov_0.858726,1,10051
NODE_483_length_10047_cov_0.919355,1,10047
NODE_484_length_10045_cov_1.058984,1,10045
NODE_485_length_10039_cov_0.804379,1,10039
NODE_486_length_10038_cov_0.830189,1,10038
NODE_487_length_10035_cov_0.876665,1,10035
NODE_488_length_10032_cov_0.818476,1,10032
NODE_490_length_10026_cov_0.742095,1,10026
NODE_489_length_10026_cov_0.894838,1,10026
NODE_491_length_10023_cov_0.905113,1,10023
NODE_494_length_10017_cov_0.855713,1,10017
NODE_493_length_10017_cov_0.882406,1,10017
NODE_492_length_10017_cov_0.920222,1,10017
NODE_495_length_10016_cov_1.025584,1,10016
NODE_496_length_10009_cov_0.967416,1,10009
NODE_497_length_10004_cov_0.778678,1,10004
NODE_498_length_10003_cov_0.866545,1,10003
NODE_499_length_10002_cov_0.762937,1,10002
NODE_501_length_9993_cov_0.863977,1,9993
NODE_500_length_9993_cov_0.900061,1,9993
NODE_502_length_9991_cov_0.819039,1,9991
NODE_503_length_9974_cov_0.853052,1,9974
NODE_504_length_9969_cov_0.760618,1,9969
NODE_505_length_9956_cov_0.820124,1,9956
NODE_506_length_9942_cov_0.916454,1,9942
NODE_507_length_9936_cov_0.885513,1,9936
NODE_508_length_9932_cov_0.827231,1,9932
NODE_509_length_9931_cov_0.761526,1,9931
NODE_510_length_9927_cov_0.788980,1,9927
NODE_511_length_9922_cov_0.895048,1,9922
NODE_512_length_9919_cov_0.727328,1,9919
NODE_513_length_9915_cov_0.852575,1,9915
NODE_514_length_9914_cov_1.019005,1,9914
NODE_516_length_9908_cov_0.826789,1,9908
NODE_515_length_9907_cov_0.845603,1,9907
NODE_517_length_9887_cov_0.838012,1,9887
NODE_518_length_9883_cov_0.934707,1,9883
NODE_519_length_9879_cov_0.778815,1,9879
NODE_520_length_9871_cov_0.779865,1,9871
NODE_521_length_9867_cov_0.952053,1,9867
NODE_522_length_9858_cov_0.813688,1,9858
NODE_523_length_9849_cov_0.811047,1,9849
NODE_524_length_9847_cov_0.861008,1,9847
NODE_525_length_9846_cov_0.848030,1,9846
NODE_526_length_9830_cov_0.816139,1,9830
NODE_527_length_9829_cov_0.898784,1,9829
NODE_528_length_9824_cov_0.867794,1,9824
NODE_529_length_9793_cov_0.766191,1,9793
NODE_531_length_9792_cov_0.809622,1,9792
NODE_530_length_9792_cov_0.821728,1,9792
NODE_532_length_9780_cov_0.797679,1,9780
NODE_533_length_9779_cov_0.698094,1,9779
NODE_534_length_9775_cov_0.828047,1,9775
NODE_535_length_9769_cov_0.881664,1,9769
NODE_536_length_9762_cov_1.000830,1,9762
NODE_537_length_9761_cov_0.801848,1,9761
NODE_538_length_9747_cov_0.836279,1,9747
NODE_539_length_9743_cov_0.717450,1,9743
NODE_540_length_9740_cov_0.966296,1,9740
NODE_541_length_9722_cov_0.826440,1,9722
NODE_542_length_9720_cov_0.924111,1,9720
NODE_543_length_9716_cov_0.817812,1,9716
NODE_544_length_9706_cov_0.878484,1,9706
NODE_545_length_9705_cov_0.767384,1,9705
NODE_546_length_9699_cov_0.797952,1,9699
NODE_547_length_9689_cov_0.845012,1,9689
NODE_548_length_9679_cov_0.953413,1,9679
NODE_549_length_9674_cov_0.821305,1,9674
NODE_550_length_9672_cov_0.784390,1,9672
NODE_551_length_9667_cov_0.857233,1,9667
NODE_552_length_9666_cov_0.858685,1,9666
NODE_553_length_9665_cov_0.827742,1,9665
NODE_554_length_9656_cov_0.760206,1,9656
NODE_555_length_9651_cov_0.818564,1,9651
NODE_556_length_9626_cov_0.741236,1,9626
NODE_557_length_9623_cov_0.877211,1,9623
NODE_558_length_9622_cov_0.728805,1,9622
NODE_560_length_9606_cov_0.786053,1,9606
NODE_559_length_9606_cov_0.847347,1,9606
NODE_561_length_9601_cov_0.785729,1,9601
NODE_562_length_9597_cov_0.812777,1,9597
NODE_563_length_9595_cov_0.858471,1,9595
NODE_564_length_9594_cov_0.901553,1,9594
NODE_565_length_9590_cov_0.888302,1,9590
NODE_566_length_9585_cov_0.827342,1,9585
NODE_567_length_9556_cov_0.898929,1,9556
NODE_568_length_9553_cov_0.865266,1,9553
NODE_569_length_9552_cov_0.820902,1,9552
NODE_570_length_9548_cov_0.713512,1,9548
NODE_571_length_9541_cov_0.883365,1,9541
NODE_572_length_9537_cov_0.886185,1,9537
NODE_573_length_9535_cov_0.953338,1,9535
NODE_574_length_9534_cov_0.868821,1,9534
NODE_575_length_9528_cov_0.891607,1,9528
NODE_576_length_9525_cov_0.743775,1,9525
NODE_577_length_9519_cov_0.804940,1,9519
NODE_578_length_9517_cov_0.875825,1,9517
NODE_581_length_9507_cov_0.838913,1,9507
NODE_580_length_9507_cov_0.894030,1,9507
NODE_579_length_9507_cov_0.915991,1,9507
NODE_582_length_9502_cov_0.722347,1,9502
